"section","courseID","school","session","course_title","instructor","course_description","section_name","department","origin","total_enrolled","N.Sections","semester","course_desc","year","all_semesters","course_level","clean_course_desc"
17516,"CHEM-423","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Advanced Laboratory Techniques in Organic and Inorganic Chemistry","Picazo, Elias","Advanced synthetic, analytical, and physical measurement techniques in organic and inorganic chemistry. Emphasis on laboratory work with discussion of theoretical background. Lecture, 2 hours; discussion, 1 hour; laboratory, 8 hours.","","CHEM",20251,0,3,"SP25","Advanced Laboratory Techniques in Organic and Inorganic Chemistry -  - Advanced synthetic, analytical, and physical measurement techniques in organic and inorganic chemistry. Emphasis on laboratory work with discussion of theoretical background. Lecture, 2 hours; discussion, 1 hour; laboratory, 8 hours.","AY25","SP25","undergrad upper division","advanced laboratory techniques in organic and inorganic chemistry      advanced synthetic  analytical  and physical measurement techniques in organic and inorganic chemistry  emphasis on laboratory work with discussion of theoretical background  lecture  2 hours  discussion  1 hour  laboratory  8 hours "
17521,"CHEM-462","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Properties and Sustainability of Polymers","Fieser, Megan","The importance of plastics in daily life, the consequential effects on the environment and directions for sustainable solutions.","","CHEM",20251,0,2,"SP25","Properties and sustainability of Polymers -  - The importance of plastics in daily life, the consequential effects on the environment and directions for sustainable solutions.","AY25","SP25","undergrad upper division","properties and sustainability of polymers      the importance of plastics in daily life  the consequential effects on the environment and directions for sustainable solutions "
17522,"CHEM-431","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Physical Chemistry:  Quantum Mechanics","Cherezov, Vadim","Classical and quantum mechanics: atomic structure; molecular structure; chemical bonds; solid state; symmetry; electric and magnetic properties of molecules; atomic spectroscopy; rotational and vibrational spectroscopy; electronic spectroscopy.","","CHEM",20251,0,3,"SP25","Physical Chemistry:  Quantum Mechanics -  - Classical and quantum mechanics: atomic structure; molecular structure; chemical bonds; solid state; symmetry; electric and magnetic properties of molecules; atomic spectroscopy; rotational and vibrational spectroscopy; electronic spectroscopy.","AY25","SP25","undergrad upper division","physical chemistry   quantum mechanics      classical and quantum mechanics  atomic structure  molecular structure  chemical bonds  solid state  symmetry  electric and magnetic properties of molecules  atomic spectroscopy  rotational and vibrational spectroscopy  electronic spectroscopy "
17527,"CHEM-432","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Physical Chemistry for the Life Sciences","Chen, Lin","Principles of physical chemistry relevant for the life sciences: thermodynamics, chemical equilibria, molecular dynamics, kinetics, molecular structures and interactions, spectroscopy, statistical thermodynamics and macromolecular structures. Duplicates credit in CHEM 430a.","","CHEM",20251,0,2,"SP25","Physical Chemistry for the Life Sciences -  - Principles of physical chemistry relevant for the life sciences: thermodynamics, chemical equilibria, molecular dynamics, kinetics, molecular structures and interactions, spectroscopy, statistical thermodynamics and macromolecular structures. Duplicates credit in CHEM 430a.","AY25","SP25","undergrad upper division","physical chemistry for the life sciences      principles of physical chemistry relevant for the life sciences  thermodynamics  chemical equilibria  molecular dynamics  kinetics  molecular structures and interactions  spectroscopy  statistical thermodynamics and macromolecular structures  duplicates credit in chem 430a "
17528,"CHEM-453","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Advanced Inorganic Chemistry","Marinescu, Smaranda, C","Atomic structure, theory of bonding, molecular structure, metallic state, coordination compounds, transition and nontransition metals, magnetic and optical properties, crystal field theory, mechanism of reactions.","","CHEM",20251,0,2,"SP25","Advanced Inorganic Chemistry -  - Atomic structure, theory of bonding, molecular structure, metallic state, coordination compounds, transition and nontransition metals, magnetic and optical properties, crystal field theory, mechanism of reactions.","AY25","SP25","undergrad upper division","advanced inorganic chemistry      atomic structure  theory of bonding  molecular structure  metallic state  coordination compounds  transition and nontransition metals  magnetic and optical properties  crystal field theory  mechanism of reactions "
17532,"CHEM-463","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Chemical Nanotechnology Laboratory","Inkpen, Michael, Stephen","Experimental techniques in the synthesis and characterization of nanoscale materials. Emphasis on examining size-dependent properties of various nano - scale materials using spectroscopic techniques.","","CHEM",20251,0,2,"SP25","Chemical Nanotechnology Laboratory -  - Experimental techniques in the synthesis and characterization of nanoscale materials. Emphasis on examining size-dependent properties of various nano - scale materials using spectroscopic techniques.","AY25","SP25","undergrad upper division","chemical nanotechnology laboratory      experimental techniques in the synthesis and characterization of nanoscale materials  emphasis on examining size dependent properties of various nano   scale materials using spectroscopic techniques "
17548,"CHEM-527","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Synthetic Organic Chemistry","Zhang, Chao","A survey of representative groups of widely used synthetic organic reactions; emphasis on scope, limitations, and stereochemical consequences.","","CHEM",20251,0,1,"SP25","Synthetic Organic Chemistry -  - A survey of representative groups of widely used synthetic organic reactions; emphasis on scope, limitations, and stereochemical consequences.","AY25","SP25","graduate","synthetic organic chemistry      a survey of representative groups of widely used synthetic organic reactions  emphasis on scope  limitations  and stereochemical consequences "
17550,"CHEM-535","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Introduction to Molecular Spectroscopy","Benderskii, Alexander, V","Theoretical and experimental methods of molecular spectroscopy and applications to chemistry.  Rotational, vibrational, electronic, electron and nuclear magnetic resonance spectroscopies.","","CHEM",20251,0,1,"SP25","Introduction to Molecular Spectroscopy -  - Theoretical and experimental methods of molecular spectroscopy and applications to chemistry.  Rotational, vibrational, electronic, electron and nuclear magnetic resonance spectroscopies.","AY25","SP25","graduate","introduction to molecular spectroscopy      theoretical and experimental methods of molecular spectroscopy and applications to chemistry   rotational  vibrational  electronic  electron and nuclear magnetic resonance spectroscopies "
17554,"CHEM-540","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Introduction to Statistical Mechanics","Prezhdo, Oleg","Study of macroscopic systems from molecular viewpoint using statistical mechanics: ensembles, fluctuations, gases, gas-solid interfaces, crystals, polymers, critical phenomena, non-equilibrium systems.","","CHEM",20251,0,2,"SP25","Introduction to Statistical Mechanics -  - Study of macroscopic systems from molecular viewpoint using statistical mechanics: ensembles, fluctuations, gases, gas-solid interfaces, crystals, polymers, critical phenomena, non-equilibrium systems.","AY25","SP25","graduate","introduction to statistical mechanics      study of macroscopic systems from molecular viewpoint using statistical mechanics  ensembles  fluctuations  gases  gas solid interfaces  crystals  polymers  critical phenomena  non equilibrium systems "
17558,"CHEM-565","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Advanced Practical Nuclear Magnetic Resonance Spectroscopy","Williams, Travis, Jesse","Application of multidimensional and time resolved NMR spectroscopy to problems in structure determination and thermochemistry. Recommended preparation: CHEM-625.","","CHEM",20251,0,1,"SP25","Advanced Practical Nuclear Magnetic Resonance Spectroscopy -  - Application of multidimensional and time resolved NMR spectroscopy to problems in structure determination and thermochemistry. Recommended preparation: CHEM-625.","AY25","SP25","graduate","advanced practical nuclear magnetic resonance spectroscopy      application of multidimensional and time resolved nmr spectroscopy to problems in structure determination and thermochemistry  recommended preparation  chem 625 "
17560,"CHEM-575","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Modern Trends in Physical Chemistry","Wittig, Curt, Franklin","Emerging research areas in physical and theoretical chemistry through a thorough discussion of seminal research articles and presentations of current research topics.  Recommended preparation: some research experience and familiarity with literature search.","","CHEM",20251,0,1,"SP25","Modern Trends in Physical Chemistry -  - Emerging research areas in physical and theoretical chemistry through a thorough discussion of seminal research articles and presentations of current research topics.  Recommended preparation: some research experience and familiarity with literature search.","AY25","SP25","graduate","modern trends in physical chemistry      emerging research areas in physical and theoretical chemistry through a thorough discussion of seminal research articles and presentations of current research topics   recommended preparation  some research experience and familiarity with literature search "
17576,"CHEM-599","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Special Topics","Cherezov, Vadim","Special topics in chemistry.","X-ray Crystallography for Biochemists","CHEM",20251,0,1,"SP25","Special Topics - X-ray Crystallography for Biochemists - Special topics in chemistry.","AY25","SP25","graduate","special topics   x ray crystallography for biochemists   special topics in chemistry "
17577,"CHEM-599","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Special Topics","Thompson, Mark","Special topics in chemistry.","Theory and Practice of Single Crystal X-ray Crystallography","CHEM",20251,0,2,"SP25","Special Topics - Theory and Practice of Single Crystal X-ray Crystallography - Special topics in chemistry.","AY25","SP25","graduate","special topics   theory and practice of single crystal x ray crystallography   special topics in chemistry "
17582,"CHEM-625","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Chemical Applications of Magnetic Resonance Spectroscopy","Prakash, Surya, G","Elementary theory of magnetic resonance spectroscopy, methods of spectral analysis, treatment of Fourier transform methods and time dependent phenomena; recent applications in organic chemistry.","","CHEM",20251,0,1,"SP25","Chemical Applications of Magnetic Resonance Spectroscopy -  - Elementary theory of magnetic resonance spectroscopy, methods of spectral analysis, treatment of Fourier transform methods and time dependent phenomena; recent applications in organic chemistry.","AY25","SP25","graduate","chemical applications of magnetic resonance spectroscopy      elementary theory of magnetic resonance spectroscopy  methods of spectral analysis  treatment of fourier transform methods and time dependent phenomena  recent applications in organic chemistry "
17584,"CHEM-630","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Fundamentals of Electrochemical Energy Systems","Marinescu, Smaranda, C","Fundamentals of electrochemical energy systems including various batteries, fuel cells and electrolyzers with a focus on materials, operating principles and applications","","CHEM",20251,0,1,"SP25","Fundamentals of Electrochemical Energy Systems -  - Fundamentals of electrochemical energy systems including various batteries, fuel cells and electrolyzers with a focus on materials, operating principles and applications","AY25","SP25","graduate","fundamentals of electrochemical energy systems      fundamentals of electrochemical energy systems including various batteries  fuel cells and electrolyzers with a focus on materials  operating principles and applications"
17586,"CHEM-632","Dana and David Dornsife College of Letters, Arts and Sciences",1,"Introduction to Surface Chemistry and Electrocatalysis","Marinescu, Smaranda, C","Introduction to principles governing physical and chemical behavior of surfaces: structures, thermodynamics, adsorption, desorption, diffusion, electron transfer and electrocatalytic reactions, and experimental surface analytical techniques.","","CHEM",20251,0,1,"SP25","Introduction to Surface Chemistry and Electrocatalysis -  - Introduction to principles governing physical and chemical behavior of surfaces: structures, thermodynamics, adsorption, desorption, diffusion, electron transfer and electrocatalytic reactions, and experimental surface analytical techniques.","AY25","SP25","graduate","introduction to surface chemistry and electrocatalysis      introduction to principles governing physical and chemical behavior of surfaces  structures  thermodynamics  adsorption  desorption  diffusion  electron transfer and electrocatalytic reactions  and experimental surface analytical techniques "
17804,"CNTV-524","School of Cinematic Arts",37,"Digital Technologies and the Entertainment Industry","","The impact of digital technologies on the film, television, and music industries from content creation to distribution.","","CNTV",20251,0,1,"SP25","Digital Technologies and the Entertainment Industry -  - The impact of digital technologies on the film, television, and music industries from content creation to distribution.","AY25","SP25","graduate","digital technologies and the entertainment domain      the impact of digital technologies on the film  television  and music industries from content creation to distribution "
17810,"CNTV-530","School of Cinematic Arts",37,"Cinematic Ethics","","An introductory course in the ethical questions professionals encounter in the field of cinematic arts. Case studies and guest lectures.","","CNTV",20251,0,5,"SP25","Cinematic Ethics -  - An introductory course in the ethical questions professionals encounter in the field of cinematic arts. Case studies and guest lectures.","AY25","SP25","graduate","cinematic ethics      an introductory course in the ethical questions professionals encounter in the field of cinematic arts  case studies and guest lectures "
17815,"CNTV-467","School of Cinematic Arts",1,"The Future of Digital Media and the Entertainment Industry","","Examines how digital media will affect the future of the television, motion picture, game, music, and interactive industries.","","CNTV",20251,0,1,"SP25","The Future of Digital Media and the Entertainment Industry -  - Examines how digital media will affect the future of the television, motion picture, game, music, and interactive industries.","AY25","SP25","undergrad upper division","the future of digital media and the entertainment domain      examines how digital media will affect the future of the television  motion picture  game  music  and interactive industries "
17817,"CNTV-481","School of Cinematic Arts",1,"Entertainment Industry Launchpad","","Provides senior Business of Cinematic Arts majors with the practical and theoretical skills needed to launch their entry into the Entertainment Industry.","","CNTV",20251,0,1,"SP25","Entertainment Industry Launchpad -  - Provides senior Business of Cinematic Arts majors with the practical and theoretical skills needed to launch their entry into the Entertainment Industry.","AY25","SP25","undergrad upper division","entertainment domain launchpad      provides senior business of cinematic arts majors with the practical and theoretical skills needed to launch their entry into the entertainment domain "
17823,"CNTV-495","School of Cinematic Arts",1,"Internship in Cinematic Arts","","On-the-job film, television, and interactive industry experience in the areas of interest of the individual student. Requires departmental approval.","","CNTV",20251,0,3,"SP25","Internship in Cinematic Arts -  - On-the-job film, television, and interactive industry experience in the areas of interest of the individual student. Requires departmental approval.","AY25","SP25","undergrad upper division","internship in cinematic arts      on the job film  television  and interactive industry experience in the areas of interest of the individual student  requires departmental approval "
17829,"CNTV-441","School of Cinematic Arts",1,"Business and Cinematic Arts Entertainment Practicum","","Application of business and cinematic arts concepts to entertainment industry networking and career-building experiences. Peer collaboration/competition, and identifying organizational compatibility.","","CNTV",20251,0,1,"SP25","Business and Cinematic Arts Entertainment Practicum -  - Application of business and cinematic arts concepts to entertainment industry networking and career-building experiences. Peer collaboration/competition, and identifying organizational compatibility.","AY25","SP25","undergrad upper division","business and cinematic arts entertainment practicum      application of business and cinematic arts concepts to entertainment domain networking and career building experiences  peer collaboration competition  and identifying organizational compatibility "
17834,"CNTV-457","School of Cinematic Arts",1,"The Entertainment Entrepreneur:Getting Your First Project Made","","The practical aspects of entrepreneurial producing in the entertainment industry. Identifying and understanding the pitfalls and benefits of creating one's own projects.","","CNTV",20251,0,1,"SP25","The Entertainment Entrepreneur:Getting Your First Project Made -  - The practical aspects of entrepreneurial producing in the entertainment industry. Identifying and understanding the pitfalls and benefits of creating one's own projects.","AY25","SP25","undergrad upper division","the entertainment entrepreneur getting your first project made      the practical aspects of entrepreneurial producing in the entertainment domain  identifying and understanding the pitfalls and benefits of creating one's own projects "
17835,"CNTV-428","School of Cinematic Arts",1,"Fundamentals of Entertainment Law and Dealmaking","","An introduction to the legal aspects of securing and protecting content in all forms of media, and the business side of project development and implementation.","","CNTV",20251,0,1,"SP25","Fundamentals of Entertainment Law and Dealmaking -  - An introduction to the legal aspects of securing and protecting content in all forms of media, and the business side of project development and implementation.","AY25","SP25","undergrad upper division","fundamentals of entertainment law and dealmaking      an introduction to the legal aspects of securing and protecting content in all forms of media  and the business side of project development and implementation "
17841,"CNTV-562","School of Cinematic Arts",37,"Seminar in Motion Picture Business","","Problems of studio operation, production, distribution, exhibition or legal procedures relating to the motion picture.","","CNTV",20251,0,1,"SP25","Seminar in Motion Picture Business -  - Problems of studio operation, production, distribution, exhibition or legal procedures relating to the motion picture.","AY25","SP25","graduate","seminar in motion picture business      problems of studio operation  production  distribution  exhibition or legal procedures relating to the motion picture "
17842,"CNTV-522","School of Cinematic Arts",37,"The Television Industry: Networks, Cable and the Internet","","The current state of the television industry and future business paradigms.","","CNTV",20251,0,1,"SP25","The Television Industry: Networks, Cable and the Internet -  - The current state of the television industry and future business paradigms.","AY25","SP25","graduate","the television industry  networks  cable and the internet      the current state of the television industry and future business paradigms "
17843,"CNTV-563","School of Cinematic Arts",37,"The Business of Representation","","Various roles an agent, manager, attorney and publicist play in representing talent, producers and writers. Taught by professionals who are at the forefront of the entertainment industry.","","CNTV",20251,0,1,"SP25","The Business of Representation -  - Various roles an agent, manager, attorney and publicist play in representing talent, producers and writers. Taught by professionals who are at the forefront of the entertainment industry.","AY25","SP25","graduate","the business of representation      various roles an agent  manager  attorney and publicist play in representing talent  producers and writers  taught by professionals who are at the forefront of the entertainment domain "
17848,"CNTV-595","School of Cinematic Arts",60,"Professional Practicum","","Film, media, archival and interactive industry experience in areas of interest to the individual student, and development of a personal brand. Requires departmental approval.","","CNTV",20251,0,1,"SP25","Professional Practicum -  - Film, media, archival and interactive industry experience in areas of interest to the individual student, and development of a personal brand. Requires departmental approval.","AY25","SP25","graduate","professional practicum      film  media  archival and interactive industry experience in areas of interest to the individual student  and development of a personal brand  requires departmental approval "
17853,"CTAN-401B","School of Cinematic Arts",1,"Senior Project","Halsey, Jordan, Reece","b: Completion and exhibition of the short animated film to demonstrate understanding and further examination of the possibilities of animation time based graphic media. Open to senior animation majors only.","","CTAN",20251,0,1,"SP25","Senior Project -  - b: Completion and exhibition of the short animated film to demonstrate understanding and further examination of the possibilities of animation time based graphic media. Open to senior animation majors only.","AY25","SP25","undergrad upper division","senior project      b  completion and exhibition of the short animated film to demonstrate understanding and further examination of the possibilities of animation time based graphic media  open to senior animation majors only "
17855,"CTAN-336","School of Cinematic Arts",1,"Ideation and Pre-Production","Staub, Josh","Emphasis on lateral thinking working across boundaries to find underlying principles in terms of ideation: the act of becoming an agent of ideas.","","CTAN",20251,0,1,"SP25","Ideation and Pre-Production -  - Emphasis on lateral thinking working across boundaries to find underlying principles in terms of ideation: the act of becoming an agent of ideas.","AY25","SP25","undergrad upper division","ideation and pre production      emphasis on lateral thinking working across boundaries to find underlying principles in terms of ideation  the act of becoming an agent of ideas "
17856,"CTAN-432","School of Cinematic Arts",1,"The World of Visual Effects","Barron, Craig","Introduction to the expanding field of visual effects; topics include integration for cinematic storytelling and the study of digital productions employing the latest visual effects.","","CTAN",20251,0,1,"SP25","The World of Visual Effects -  - Introduction to the expanding field of visual effects; topics include integration for cinematic storytelling and the study of digital productions employing the latest visual effects.","AY25","SP25","undergrad upper division","the world of visual effects      introduction to the expanding field of visual effects  topics include integration for cinematic storytelling and the study of digital productions employing the latest visual effects "
17858,"CTAN-425","School of Cinematic Arts",1,"Studio Careers: Story to Screen","Staub, Josh","Seminar featuring guest speakers from major animation studios to provide an overview of a feature animation pipeline from development to pre-production, production and post-production.","","CTAN",20251,0,1,"SP25","Studio Careers: Story to Screen -  - Seminar featuring guest speakers from major animation studios to provide an overview of a feature animation pipeline from development to pre-production, production and post-production.","AY25","SP25","undergrad upper division","studio careers  story to screen      seminar featuring guest speakers from major animation studios to provide an overview of a feature animation pipeline from development to pre production  production and post production "
17862,"CTAN-536","School of Cinematic Arts",37,"Storytelling for Animation","","Storytelling workshop for animators; application of dramatic techniques to visual concepts to derive three-dimensional stories which can serve as bases for finished films.  Open only to cinematic arts students.  (Duplicates credit in CTAN 436.)","","CTAN",20251,0,1,"SP25","Storytelling for Animation -  - Storytelling workshop for animators; application of dramatic techniques to visual concepts to derive three-dimensional stories which can serve as bases for finished films.  Open only to cinematic arts students.  (Duplicates credit in CTAN 436.)","AY25","SP25","graduate","storytelling for animation      storytelling workshop for animators  application of dramatic techniques to visual concepts to derive three dimensional stories which can serve as bases for finished films   open only to cinematic arts students    duplicates credit in ctan 436  "
17863,"CTAN-443","School of Cinematic Arts",1,"Character Development for 3-D Animation and Games","","Development, modeling, and animation with an emphasis on character setup features: rigging, skeletons, deformers and scripting. Applying principles of traditional animation to 3-D character rig/puppet.","","CTAN",20251,0,1,"SP25","Character Development for 3-D Animation and Games -  - Development, modeling, and animation with an emphasis on character setup features: rigging, skeletons, deformers and scripting. Applying principles of traditional animation to 3-D character rig/puppet.","AY25","SP25","undergrad upper division","character development for 3 d animation and games      development  modeling  and animation with an emphasis on character setup features  rigging  skeletons  deformers and scripting  applying principles of traditional animation to 3 d character rig puppet "
17865,"CTAN-436","School of Cinematic Arts",1,"Writing for Animation","Brauer, Elizabeth, Gill","Workshop exploring concept and structure of long and short form animated films through practical writing exercises.","","CTAN",20251,0,1,"SP25","Writing for Animation -  - Workshop exploring concept and structure of long and short form animated films through practical writing exercises.","AY25","SP25","undergrad upper division","writing for animation      workshop exploring concept and structure of long and short form animated films through practical writing exercises "
17891,"CTAN-452","School of Cinematic Arts",1,"Introduction to 3-D Computer Animation","Derakhshani, Dariush","Lecture and laboratory in computer animation: geometric modeling, motion specification, lighting, texture mapping, rendering, compositing, production techniques, systems for computer-synthesized animation using Maya software.","","CTAN",20251,0,5,"SP25","Introduction to 3-D Computer Animation -  - Lecture and laboratory in computer animation: geometric modeling, motion specification, lighting, texture mapping, rendering, compositing, production techniques, systems for computer-synthesized animation using Maya software.","AY25","SP25","undergrad upper division","introduction to 3 d computer animation      lecture and laboratory in computer animation  geometric modeling  motion specification  lighting  texture mapping  rendering  compositing  production techniques  systems for computer synthesized animation using maya software "
17898,"CTAN-462","School of Cinematic Arts",1,"Visual Effects","","Survey of contemporary concepts and approaches to production in the current state of film and video effects work.  Digital and traditional methodologies will be covered, with a concentration on digital exercises illustrating modern techniques.","","CTAN",20251,0,2,"SP25","Visual Effects -  - Survey of contemporary concepts and approaches to production in the current state of film and video effects work.  Digital and traditional methodologies will be covered, with a concentration on digital exercises illustrating modern techniques.","AY25","SP25","undergrad upper division","visual effects      survey of contemporary concepts and approaches to production in the current state of film and video effects work   digital and traditional methodologies will be covered  with a concentration on digital exercises illustrating modern techniques "
17905,"CTAN-496","School of Cinematic Arts",1,"Directed Studies","","Individual research under faculty guidance.","","CTAN",20251,0,6,"SP25","Directed Studies -  - Individual research under faculty guidance.","AY25","SP25","undergrad upper division","directed studies      individual research under faculty guidance "
17906,"CTAN-495","School of Cinematic Arts",1,"Visual Music","Patterson, Michael","Creating visual music animation in a variety of forms and styles. Exploring the relationship between music, movement, and visual expression. Freshmen and sophomores not eligible.","","CTAN",20251,0,1,"SP25","Visual Music -  - Creating visual music animation in a variety of forms and styles. Exploring the relationship between music, movement, and visual expression. Freshmen and sophomores not eligible.","AY25","SP25","undergrad upper division","visual music      creating visual music animation in a variety of forms and styles  exploring the relationship between music  movement  and visual expression  freshmen and sophomores not eligible "
17909,"CTAN-460","School of Cinematic Arts",1,"Character Design Workshop","Gandhi, Tapan","The basics of character design for animation: anatomy, poses, facial expressions, silhouettes, and anthropomorphism. Development of a portfolio.","","CTAN",20251,0,1,"SP25","Character Design Workshop -  - The basics of character design for animation: anatomy, poses, facial expressions, silhouettes, and anthropomorphism. Development of a portfolio.","AY25","SP25","undergrad upper division","character design workshop      the basics of character design for animation  anatomy  poses  facial expressions  silhouettes  and anthropomorphism  development of a portfolio "
17910,"CTAN-480","School of Cinematic Arts",1,"Advanced Character Animation for Games","","Advanced techniques for animating 3-D creature characters in games. An emphasis on unique non-human fantasy characters.","","CTAN",20251,0,1,"SP25","Advanced Character Animation for Games -  - Advanced techniques for animating 3-D creature characters in games. An emphasis on unique non-human fantasy characters.","AY25","SP25","undergrad upper division","advanced character animation for games      advanced techniques for animating 3 d creature characters in games  an emphasis on unique non human fantasy characters "
17912,"CTAN-465","School of Cinematic Arts",1,"Digital Effects Animation","Lee, Domin","All aspects of digital effects animation, including particles, dynamics, and fluids. Creating water, fire, explosions, and destruction in film.","","CTAN",20251,0,1,"SP25","Digital Effects Animation -  - All aspects of digital effects animation, including particles, dynamics, and fluids. Creating water, fire, explosions, and destruction in film.","AY25","SP25","undergrad upper division","digital effects animation      all aspects of digital effects animation  including particles  dynamics  and fluids  creating water  fire  explosions  and destruction in film "
17917,"CTAN-420","School of Cinematic Arts",1,"Concept Design for Animation","Mahoney, John","Creating characters and environments for animation, live action, and video games.","","CTAN",20251,0,1,"SP25","Concept Design for Animation -  - Creating characters and environments for animation, live action, and video games.","AY25","SP25","undergrad upper division","concept design for animation      creating characters and domains for animation  live action  and video games "
17918,"CTAN-502","School of Cinematic Arts",37,"Experiments in Immersive Design","","An in-depth exploration of aesthetics and techniques involved in the conceptualization, design and creation of virtual reality and stereoscopic imaging.","","CTAN",20251,0,2,"SP25","Experiments in Immersive Design -  - An in-depth exploration of aesthetics and techniques involved in the conceptualization, design and creation of virtual reality and stereoscopic imaging.","AY25","SP25","graduate","experiments in immersive design      an in depth exploration of aesthetics and techniques involved in the conceptualization  design and creation of virtual reality and stereoscopic imaging "
17919,"CTAN-454","School of Cinematic Arts",1,"Real-Time Animation","Halsey, Jordan, Reece","The fundamentals of lighting and rendering in real-time. Creating complex, compelling and dynamic scenes and manipulating them in real-time using Unreal Engine.","","CTAN",20251,0,1,"SP25","Real-Time Animation -  - The fundamentals of lighting and rendering in real-time. Creating complex, compelling and dynamic scenes and manipulating them in real-time using Unreal Engine.","AY25","SP25","undergrad upper division","real time animation      the fundamentals of lighting and rendering in real time  creating complex  compelling and dynamic scenes and manipulating them in real time using unreal engine "
17920,"CTAN-503","School of Cinematic Arts",37,"Storyboarding for Animation","Sito, Tom","Focus on film grammar, perspective, and layout, staging and acting as it relates to storyboarding for animation.","","CTAN",20251,0,1,"SP25","Storyboarding for Animation -  - Focus on film grammar, perspective, and layout, staging and acting as it relates to storyboarding for animation.","AY25","SP25","graduate","storyboarding for animation      focus on film grammar  perspective  and layout  staging and acting as it relates to storyboarding for animation "
17921,"CTAN-497","School of Cinematic Arts",1,"Procedural Animation","Halsey, Jordan, Reece","Introduction to software packages and practices exploring current animation techniques that leverage simulation systems. Artificial intelligence as a tool for animation.","","CTAN",20251,0,1,"SP25","Procedural Animation -  - Introduction to software packages and practices exploring current animation techniques that leverage simulation systems. Artificial intelligence as a tool for animation.","AY25","SP25","undergrad upper division","procedural animation      introduction to software packages and practices exploring current animation techniques that leverage simulation systems  artificial intelligence as a tool for animation "
17922,"CTAN-201","School of Cinematic Arts",1,"Intermediate Animation Production","","Tools, skills and procedures used in animation production with a focus on professional execution of independent and collaborative productions. Prerequisite: CTAN 102. Open to sophomore animation majors only.","","CTAN",20251,0,1,"SP25","Intermediate Animation Production -  - Tools, skills and procedures used in animation production with a focus on professional execution of independent and collaborative productions. Prerequisite: CTAN 102. Open to sophomore animation majors only.","AY25","SP25","undergrad lower division","intermediate animation production      tools  skills and procedures used in animation production with a focus on professional execution of independent and collaborative productions  prerequisite  ctan 102  open to sophomore animation majors only "
17923,"CTAN-588","School of Cinematic Arts",37,"Cinematic Storytelling for Animators","","Techniques and cinematic language employed in both live action and animation by cinematographers and layout artists to tell visual stories.","","CTAN",20251,0,1,"SP25","Cinematic Storytelling for Animators -  - Techniques and cinematic language employed in both live action and animation by cinematographers and layout artists to tell visual stories.","AY25","SP25","graduate","cinematic storytelling for animators      techniques and cinematic language employed in both live action and animation by cinematographers and layout artists to tell visual stories "
17929,"CTAN-511","School of Cinematic Arts",37,"Demystifying the TV Animation Pipeline","Mitchell, Monica","The practical aspects of producing a 2-D animation series. Identifying and understanding the 2-D pipeline.","","CTAN",20251,0,1,"SP25","Demystifying the TV Animation Pipeline -  - The practical aspects of producing a 2-D animation series. Identifying and understanding the 2-D pipeline.","AY25","SP25","graduate","demystifying the tv animation pipeline      the practical aspects of producing a 2 d animation series  identifying and understanding the 2 d pipeline "
17931,"CTAN-543","School of Cinematic Arts",37,"Fictional World Building in Animation","Lee, Jang","Constructing a persuasive fictional animated world via narrative techniques, a fixed premise and a degree of believability supported by five fundamental visual design elements.","","CTAN",20251,0,1,"SP25","Fictional World Building in Animation -  - Constructing a persuasive fictional animated world via narrative techniques, a fixed premise and a degree of believability supported by five fundamental visual design elements.","AY25","SP25","graduate","fictional world building in animation      constructing a persuasive fictional animated world via narrative techniques  a fixed premise and a degree of believability supported by five fundamental visual design elements "
17946,"CTAN-547","School of Cinematic Arts",37,"Animation Production I","Patterson, Michael","Production of an animation project from creative concept and design through completion.","","CTAN",20251,0,1,"SP25","Animation Production I -  - Production of an animation project from creative concept and design through completion.","AY25","SP25","graduate","animation production i      production of an animation project from creative concept and design through completion "
17947,"CTAN-510","School of Cinematic Arts",37,"Inside Story: Creative Development for Animation","Makowka, Abram","A creative development workshop for animated pitch storytelling, supported by an introduction to character development and story structure fundamentals.","","CTAN",20251,0,1,"SP25","Inside Story: Creative Development for Animation -  - A creative development workshop for animated pitch storytelling, supported by an introduction to character development and story structure fundamentals.","AY25","SP25","graduate","inside story  creative development for animation      a creative development workshop for animated pitch storytelling  supported by an introduction to character development and story structure fundamentals "
